№,Файл,Название,Длина (мм),Ширина (мм),Высота (мм),Кол-во,Объём 1 шт (м³),Общий объём (м³),Масса (кг),Транспорт
544,data_for_algoritm_16222.json,G35421501 Ecophon Focus Ds 1200х600х20mm (10720),1280,1220,2400,1,3.7478,3.75,17.0,Фургон
545,data_for_algoritm_16332.json,Шлифовки,2300,850,2300,6,4.4965,26.98,4680.0,Фура 13.6 м
546,data_for_algoritm_15834.json,JamLab 6C,520,290,290,9,0.0437,0.39,67.5,Европаллета
547,data_for_algoritm_16901.json,Квас РУССКИЙ ДАР Традиционный 0.5L,265,200,230,1,0.0122,0.01,6.51,Европаллета
548,data_for_algoritm_15535.json,M806A,1410,870,510,1,0.6256,0.63,61.4,Европаллета
549,data_for_algoritm_15216.json,118,256,166,177,1,0.0075,0.01,3.56,Европаллета
550,data_for_algoritm_17103.json,А18,2890,2290,1280,1,8.4712,8.47,3.12,Фургон
551,data_for_algoritm_14781.json,коробка,200,100,70,500,0.0014,0.7,250.0,Европаллета
552,data_for_algoritm_15159.json,Соус MIVIMEX Чили кавказский 200г,238,143,198,1,0.0067,0.01,1.0,Европаллета
553,data_for_algoritm_16546.json,7,700,600,1325,1,0.5565,0.56,260.0,Европаллета
554,data_for_algoritm_15486.json,Сок САДЫ ПРИДОНЬЯ Яблочный прям отж1L,372,140,253,1,0.0132,0.01,12.12,Европаллета
555,data_for_algoritm_15211.json,1,1200,800,900,1,0.864,0.86,180.0,Европаллета
556,data_for_algoritm_15079.json,корпус5,960,480,220,1,0.1014,0.1,40.0,Европаллета
557,data_for_algoritm_14975.json,ПС-5.7,4558,2810,60,1,0.7685,0.77,55.0,Спецтранспорт
558,data_for_algoritm_15503.json,А184,3400,2200,1250,1,9.35,9.35,927.0,Фургон
559,data_for_algoritm_15482.json,Сок ЛЕНТА гранатовый прямой отжим 1L,390,190,240,1,0.0178,0.02,12.0,Европаллета
560,data_for_algoritm_14798.json,ЛИДСКИЙ Квас ТЕМНЫЙ ПЭТ 1.5л,190,290,330,1000,0.0182,18.18,4000.0,Фургон
561,data_for_algoritm_15453.json,"Пиво св ОХОТА крепкое паст 8,1%жб 0.43L",255,387,171,1,0.0169,0.02,11.28,Европаллета
562,data_for_algoritm_15503.json,А41,1000,800,525,1,0.42,0.42,82.0,Европаллета
563,data_for_algoritm_15404.json,Тбумага FAMILIA Plus Волшеб цв 2-сл 4шт,810,370,195,1,0.0584,0.06,4.6,Европаллета
564,data_for_algoritm_17108.json,2,2520,1720,920,1,3.9876,3.99,880.0,Фургон
565,data_for_algoritm_15402.json,Жмыло Я САМАЯ Масло Арганы 500мл,430,200,280,1,0.0241,0.02,6.8,Европаллета
566,data_for_algoritm_15483.json,А271,4350,3250,3200,1,45.24,45.24,6.11,Спецтранспорт
567,data_for_algoritm_17095.json,В,1600,1100,850,12,1.496,17.95,1320.0,Фургон
568,data_for_algoritm_15567.json,Пиво св BUD пастер. алк.5% ст. 0.44L,335,270,255,1,0.0231,0.02,14.6,Европаллета
569,data_for_algoritm_16653.json,ФАНКОИЛ 144.154,1600,1200,1900,2,3.648,7.3,400.0,Фургон
570,data_for_algoritm_15457.json,Вода пит. СЕНЕЖСКАЯ прир. нгаз. 1.5L,340,156,235,1,0.0125,0.01,9.36,Европаллета
571,data_for_algoritm_15456.json,Вода пит СВЯТОЙ ИСТОЧНИК нгаз 5L ПЭТ,306,154,320,2,0.0151,0.03,20.68,Европаллета
572,data_for_algoritm_16162.json,26300900 Connect Angle Bracket,143,105,107,1,0.0016,0.0,0.4,Европаллета
573,data_for_algoritm_14949.json,JamLab 6,1070,320,430,9,0.1472,1.33,217.8,Европаллета
574,data_for_algoritm_16162.json,G35433422 Flexiform Atechwool 2000x600x30,2280,1220,2310,1,6.4255,6.43,6.0,Фургон
575,data_for_algoritm_16690.json,"Редуктор 228D (сланцево-серый RAL 7015) в сборе 
Шкив ременной передачи 5-ти ручьевой типа «С» диаметром 36 дюймов
(сланцево-серый RAL 7015) 
Барабанная тормозная система, установленная на редуктор",1650,1760,980,178,2.8459,506.57,569.6,Спецтранспорт
576,data_for_algoritm_16847.json,А90,1300,900,1000,1,1.17,1.17,500.0,Европаллета
577,data_for_algoritm_15481.json,А343,10230,2830,3460,1,100.1701,100.17,5.55,Спецтранспорт
578,data_for_algoritm_15216.json,22,142,95,182,2,0.0025,0.0,1.66,Европаллета
579,data_for_algoritm_15503.json,А111,1750,1150,675,1,1.3584,1.36,508.0,Европаллета
580,data_for_algoritm_15323.json,SAP6600600335,920,770,280,1,0.1984,0.2,110.0,Европаллета
581,data_for_algoritm_16060.json,3,6000,600,600,1,2.16,2.16,1.5,Фургон
582,data_for_algoritm_15403.json,Мк говядина СКОПИНСКИЙ туш вс ГОСТ 325,210,310,170,1,0.0111,0.01,7.1,Европаллета
583,data_for_algoritm_15079.json,корпус3,1800,720,180,1,0.2333,0.23,38.0,Европаллета
584,data_for_algoritm_16514.json,JamLab 6C,520.0,290.0,290.0,8.0,0.0437,0.35,60.0,Европаллета
585,data_for_algoritm_17292.json,А9,600,500,500,1,0.15,0.15,13.0,Европаллета
586,data_for_algoritm_16929.json,подгуз1,660,330,450,100,0.098,9.8,1200.0,Фургон
587,data_for_algoritm_16668.json,22,2213,132,395,1,0.1154,0.12,100.0,Европаллета
588,data_for_algoritm_15211.json,q,120,800,540,1,0.0518,0.05,135.0,Европаллета
589,data_for_algoritm_17212.json,18. (R13D) Упаковка контроллера,2080,360,430,1,0.322,0.32,30.0,Европаллета
590,data_for_algoritm_16404.json,Азия,1100,1000,2445,3,2.6895,8.07,450.0,Фургон
591,data_for_algoritm_13580.json,Колбаса краковская,300,300,200,11,0.018,0.2,110.0,Европаллета
592,data_for_algoritm_16900.json,Дп сок ЧЕРНОГОЛОВКА БЭЙБИ ябл. осв200мл,360,160,123,1,0.0071,0.01,6.0,Европаллета
593,data_for_algoritm_17176.json,УПАКОВКА ПОДСТАВОК ПОД КАБИНУ И ПРОТИВОВЕС,1290,530,660,2,0.4512,0.9,200.0,Европаллета
594,data_for_algoritm_15327.json,1.9,1500,1000,1800,1,2.7,2.7,290.0,Фургон
595,data_for_algoritm_16952.json,Насос-автомат «ВИХРЕВИК» 40 40 Ч-14,255,475,430,10,0.0521,0.52,99.0,Европаллета
596,data_for_algoritm_16596.json,Calaf,540,420,340,4,0.0771,0.31,40.0,Европаллета
597,data_for_algoritm_17079.json,22. Упаковка направляющих противовеса и кабины,5000,300,250,3,0.375,1.12,12.0,Европаллета
598,data_for_algoritm_15453.json,Сок САДЫ ПРИДОНЬЯ Яблочный прям отж1L,372,140,253,1,0.0132,0.01,12.12,Европаллета
599,data_for_algoritm_16952.json,Ключ монтажный 20 66,92,392,96,5,0.0035,0.02,3.4,Европаллета
600,data_for_algoritm_15469.json,Сахарная пудра ЛЕНТА 250г,397,115,147,1,0.0067,0.01,3.92,Европаллета
601,data_for_algoritm_17226.json,3,500,500,1000,15,0.25,3.75,150.0,Фургон
602,data_for_algoritm_15603.json,PAREP08L59704,600,122,122,1,0.0089,0.01,2.31,Европаллета
603,data_for_algoritm_17363.json,Д,4300,1500,1300,3,8.385,25.16,2100.0,Фура 13.6 м
604,data_for_algoritm_17172.json,УПАКОВКА ЭЛЕКТРОПРОВОДКИ №3,1290,530,660,3,0.4512,1.35,180.0,Европаллета
605,data_for_algoritm_17094.json,В,1600,1100,850,12,1.496,17.95,1320.0,Фургон
606,data_for_algoritm_16952.json,Клапан обратный 32,400,150,350,100,0.021,2.1,280.0,Фургон
607,data_for_algoritm_15592.json,Connect Absorber anchor,260,170,35,1,0.0015,0.0,17.0,Европаллета
608,data_for_algoritm_16218.json,G35421504 Ecophon Focus Ds XL 1800x600x20mm Write Frost,2280,1290,2310,1,6.7942,6.79,14.0,Фургон
609,data_for_algoritm_15503.json,А155,2800,1800,1150,1,5.796,5.8,1.01,Фургон
610,data_for_algoritm_15216.json,196,260,186,202,2,0.0098,0.02,7.18,Европаллета
611,data_for_algoritm_15915.json,Вода мин. ЛЕНТА №17 газ. 1.5L,275,180,350,1,0.0173,0.02,9.14,Европаллета
612,data_for_algoritm_17030.json,Емкость,4710,2300,2500,1,27.0825,27.08,1.44,Фура 13.6 м
613,data_for_algoritm_15503.json,А128,1800,1600,2000,1,5.76,5.76,780.0,Фургон
614,data_for_algoritm_17093.json,Д,4400,1600,1300,6,9.152,54.91,4200.0,Спецтранспорт
615,data_for_algoritm_16330.json,лента,2300,1500,1300,1,4.485,4.49,600.0,Фургон
616,data_for_algoritm_14974.json,ПС-36,2255,2400,100,1,0.5412,0.54,231.45,Европаллета
617,data_for_algoritm_17198.json,27. Упаковка компенсирующих цепей,740,600,430,1,0.1909,0.19,200.0,Европаллета
618,data_for_algoritm_16220.json,G35433420 Flexiform Atechwool 1200x600x30,2280,1220,2350,1,6.5368,6.54,6.0,Фургон
619,data_for_algoritm_15481.json,А73,1640,1640,1260,1,3.3889,3.39,410.0,Фургон
620,data_for_algoritm_17175.json,УПАКОВКА ГРАНИТНОГО ПОЛА,1170,1010,265,3,0.3132,0.94,3.0,Европаллета
621,data_for_algoritm_15483.json,А175,3210,3130,3160,1,31.7495,31.75,2.31,Спецтранспорт
622,data_for_algoritm_16575.json,траки тянущего,2500,1200,500,1,1.5,1.5,400.0,Европаллета
623,data_for_algoritm_15567.json,Печенье ЛЕНТА Венское 500г,200,153,60,2,0.0018,0.0,1.08,Европаллета
624,data_for_algoritm_16395.json,палета,1200,800,1800,70,1.728,120.96,14000.0,Спецтранспорт
625,data_for_algoritm_15915.json,Печенье бисквЛЕНТА с жел.нач.клубники137,380,285,162,1,0.0175,0.02,3.79,Европаллета
626,data_for_algoritm_15823.json,M806A,1410,870,510,1,0.6256,0.63,61.4,Европаллета
627,data_for_algoritm_11834.json,167,297,166,265,3,0.0131,0.04,52.96,Европаллета
628,data_for_algoritm_17218.json,17. (R13D) Упаковка лебедки,870,1050,1200,2,1.0962,2.19,980.0,Фургон
629,data_for_algoritm_15481.json,А224,4040,2340,1260,1,11.9115,11.91,1.3,Фургон
630,data_for_algoritm_15216.json,179,324,196,311,2,0.0197,0.04,33.42,Европаллета
631,data_for_algoritm_15503.json,А87,1600,1000,1100,1,1.76,1.76,1.11,Фургон
632,data_for_algoritm_15503.json,А70,1450,1200,275,1,0.4785,0.48,120.0,Европаллета
633,data_for_algoritm_17168.json,УПАКОВКА КАНАТОВ,600,600,500,2,0.18,0.36,160.0,Европаллета
634,data_for_algoritm_17176.json,УПАКОВКА ПАНЕЛИ COP,2380,660,545,2,0.8561,1.71,240.0,Фургон
635,data_for_algoritm_17022.json,ступ,1000,300,80,114,0.024,2.74,114.0,Фургон
636,data_for_algoritm_14770.json,3,970,2090,920,2,1.8651,3.73,704.0,Фургон
637,data_for_algoritm_15217.json,99,232,147,150,1,0.0051,0.01,16.83,Европаллета
638,data_for_algoritm_15983.json,D300,630,400,450,1,0.1134,0.11,20.0,Европаллета
639,data_for_algoritm_15483.json,А330,6320,3340,760,1,16.0427,16.04,2.96,Спецтранспорт
640,data_for_algoritm_16881.json,А8,1000,1400,1700,1,2.38,2.38,666.0,Фургон
641,data_for_algoritm_15503.json,А119,1750,1150,675,1,1.3584,1.36,508.0,Европаллета
642,data_for_algoritm_16124.json,G35421501 Focus Ds 600x600,1280,1220,2400,8,3.7478,29.98,136.0,Фура 13.6 м
643,data_for_algoritm_16657.json,Механизм перемещения противовесов (сланцево-серый RAL 7015),1200,1200,50,93,0.072,6.7,6510.0,Фура 13.6 м
644,data_for_algoritm_17108.json,7,3530,1000,800,1,2.824,2.82,450.0,Фургон
645,data_for_algoritm_17288.json,3,1080,820,1230,1,1.0893,1.09,220.0,Европаллета
646,data_for_algoritm_16437.json,Коробка 2,561,380,120,500,0.0256,12.79,6000.0,Фура 13.6 м
647,data_for_algoritm_16902.json,Пакет ЛЕНТА 12кг,300,300,200,1,0.018,0.02,11.5,Европаллета
648,data_for_algoritm_16248.json,Стенд,1000,1100,2150,1,2.365,2.37,150.0,Фургон
649,data_for_algoritm_16554.json,чиллер,600,400,500,1,0.12,0.12,30.0,Европаллета
650,data_for_algoritm_17074.json,6.2. Упаковка клеммной коробки,616,362,320,1,0.0714,0.07,20.0,Европаллета
651,data_for_algoritm_15612.json,DIVA 8.3,1200,480,530,2,0.3053,0.61,76.0,Европаллета
652,data_for_algoritm_16130.json,G35597480 Gedina A T15T24 NE 600x600x15,1220,1220,2600,1,3.8698,3.87,18.0,Фургон
653,data_for_algoritm_15523.json,RM800F,1420,720,600,2,0.6134,1.23,96.0,Европаллета
654,data_for_algoritm_15487.json,Нап греч NEMOLOKO Лайт калвит В2 1000мл,225,165,252,1,0.0094,0.01,6.41,Европаллета
655,data_for_algoritm_15403.json,Корм дкош WHISKAS Рагу с ягненком 7+75г,385,98,143,2,0.0054,0.01,4.65,Европаллета
656,data_for_algoritm_15481.json,А249,4170,3360,2700,1,37.8302,37.83,3.06,Спецтранспорт
657,data_for_algoritm_16176.json,26338111 Connect T24 Corridor profile 1600mm,1650,110,95,1,0.0172,0.02,6.0,Европаллета
658,data_for_algoritm_15403.json,Корм дкош WHISKAS Желе с лососем 75г,385,98,143,1,0.0054,0.01,2.33,Европаллета
659,data_for_algoritm_17340.json,475х370х785,1200,870,2335,16,2.4377,39.0,16.0,Фура 13.6 м
660,data_for_algoritm_15481.json,А127,2300,460,370,1,0.3915,0.39,149.0,Европаллета
661,data_for_algoritm_15481.json,А232,4040,2340,1260,1,11.9115,11.91,1000.0,Фургон
662,data_for_algoritm_15483.json,А245,4040,2040,1260,1,10.3844,10.38,1.8,Фургон
663,data_for_algoritm_17173.json,УПАКОВКА ПОДВЕСНОГО ПОТОЛКА,2200,380,455,3,0.3804,1.14,150.0,Европаллета
664,data_for_algoritm_15823.json,RM600AMKII-R,740,430,400,5,0.1273,0.64,91.0,Европаллета
665,data_for_algoritm_17242.json,1,3980,570,570,2,1.2931,2.59,2.6,Фургон
666,data_for_algoritm_15916.json,Н-р дбокса ACTIWELL Mini box set,800,420,530,1,0.1781,0.18,14.0,Европаллета
667,data_for_algoritm_15317.json,Сок,1200,1000,1170,28,1.404,39.31,28000.0,Спецтранспорт
668,data_for_algoritm_15481.json,А274,4700,2330,1830,1,20.0403,20.04,390.0,Фура 13.6 м
669,data_for_algoritm_16003.json,Зеркало Гримерное напольное черное 600х1750 (20 ламп),50,680,1830,2,0.0622,0.12,33.0,Европаллета
670,data_for_algoritm_15487.json,Пиво св BUD пастер. алк.5% ст. 0.44L,335,270,255,1,0.0231,0.02,14.6,Европаллета
671,data_for_algoritm_16593.json,PM-11,700,680,380,1,0.1809,0.18,10.0,Европаллета
672,data_for_algoritm_15481.json,А33,690,340,240,1,0.0563,0.06,25.0,Европаллета
673,data_for_algoritm_16066.json,2-2,480,260,20,2,0.0025,0.0,24.0,Европаллета
674,data_for_algoritm_14457.json,К55 216 ДУБ СФР,2200,175,250,10,0.0963,0.96,160.0,Европаллета
675,data_for_algoritm_15405.json,Зефир ШАРМЭЛЬ с ароматом ванили 255г,400,300,193,1,0.0232,0.02,3.84,Европаллета
676,data_for_algoritm_15762.json,RM600AMKII-R,740,430,400,5,0.1273,0.64,91.0,Европаллета
677,data_for_algoritm_15083.json,РУССКИЙ УЗОР Квас ЛЕТНИЙ фил.паст.2.5л,220,210,359,40,0.0166,0.66,200.0,Европаллета
678,data_for_algoritm_15160.json,"Напиток коф NESCAFE 3в1 Классический14,5",400,300,180,1,0.0216,0.02,1.0,Европаллета
679,data_for_algoritm_15980.json,JamLab 8,1180,370,480,1,0.2096,0.21,33.0,Европаллета
680,data_for_algoritm_17176.json,УПАКОВКА КУПЕ КАБИНЫ,2380,660,545,2,0.8561,1.71,560.0,Фургон
681,data_for_algoritm_15323.json,SAP6600600335,300,190,160,1,0.0091,0.01,0.4,Европаллета
682,data_for_algoritm_11834.json,201,356,186,205,1,0.0136,0.01,5.15,Европаллета
683,data_for_algoritm_15929.json,G35597480 Gedina A T15T24 NE,1200,1200,500,1,0.72,0.72,2.0,Европаллета
684,data_for_algoritm_17102.json,1,1100,1100,1500,24,1.815,43.56,2400.0,Фура 13.6 м
685,data_for_algoritm_17170.json,УПАКОВКА ГРАНИТНОГО ПОЛА,1170,1010,265,3,0.3132,0.94,3.0,Европаллета
686,data_for_algoritm_16954.json,Элемент фильтрующий ЭФГ 112 508-10мкм (20 ББ),350,520,560,60,0.1019,6.12,660.0,Фургон
687,data_for_algoritm_16396.json,узп верх,1030,1030,1550,2,1.6444,3.29,700.0,Фургон
688,data_for_algoritm_15481.json,А114,1830,390,470,1,0.3354,0.34,193.0,Европаллета
689,data_for_algoritm_15159.json,Томатная паста ПОМИДОРКА 270г,340,135,100,1,0.0046,0.0,1.0,Европаллета
690,data_for_algoritm_15535.json,DIVA 6.3F,510,390,330,4,0.0656,0.26,22.8,Европаллета
691,data_for_algoritm_17169.json,УПАКОВКА ПОДСТАВОК ПОД КАБИНУ И ПРОТИВОВЕС,1290,460,660,3,0.3916,1.17,300.0,Европаллета
692,data_for_algoritm_15402.json,Печенье ЛЕНТА Хрустики 500г,200,153,60,2,0.0018,0.0,1.1,Европаллета
693,data_for_algoritm_15174.json,21,7350,1910,2920,1,40.9924,40.99,4.3,Спецтранспорт
694,data_for_algoritm_16878.json,А39,1100,950,1100,1,1.1495,1.15,380.0,Европаллета
695,data_for_algoritm_17195.json,УПАКОВКА КОНТРОЛЛЕРА,2080,360,430,1,0.322,0.32,30.0,Европаллета
696,data_for_algoritm_15215.json,К55 216 ДУБ СФР,3000,175,250,50,0.1313,6.56,500.0,Фургон
697,data_for_algoritm_15160.json,Хлопья ГЕРКУЛЕС Овсяные 420г,388,252,195,1,0.0191,0.02,1.0,Европаллета
698,data_for_algoritm_15452.json,"Молоко ЛЕНТА уп пит топлен 3,2% 950мл",301,236,224,1,0.0159,0.02,12.0,Европаллета
699,data_for_algoritm_15452.json,Дп вода ФРУТОНЯНЯ артезианская 5л,300,150,360,1,0.0162,0.02,10.24,Европаллета
700,data_for_algoritm_15216.json,172,360,122,174,1,0.0076,0.01,0.86,Европаллета
701,data_for_algoritm_15503.json,А199,4000,1600,1150,1,7.36,7.36,1.32,Фургон
702,data_for_algoritm_15403.json,Конфеты РОТ ФРОНТ Халва ВЕС,330,245,150,1,0.0121,0.01,6.3,Европаллета
703,data_for_algoritm_16899.json,Томатная паста GREEN RAY Ящ Астр пом205г,360,120,100,1,0.0043,0.0,4.07,Европаллета
704,data_for_algoritm_15486.json,Какао-нап ХРУТКА быстрораств. му 250г,235,196,112,1,0.0052,0.01,1.69,Европаллета
705,data_for_algoritm_17233.json,тортница,300,300,530,6,0.0477,0.29,30.0,Европаллета
706,data_for_algoritm_17028.json,F,1600,80,840,1,0.1075,0.11,180.0,Европаллета
707,data_for_algoritm_16959.json,сп,770,310,510,3,0.1217,0.37,30.0,Европаллета
708,data_for_algoritm_16014.json,3,260,1450,360,10,0.1357,1.36,1540.0,Фургон
709,data_for_algoritm_16932.json,Деревянный ящик 1,1000,700,600,1,0.42,0.42,110.0,Европаллета
710,data_for_algoritm_16092.json,G35597480 Gedina A T15T24 NE 600x600x15,1220,1220,2600,1,3.8698,3.87,18.0,Фургон
711,data_for_algoritm_15161.json,35,2650,2450,1980,1,12.8552,12.86,1.44,Фургон
712,data_for_algoritm_15217.json,200,260,186,202,2,0.0098,0.02,89.43,Европаллета
713,data_for_algoritm_15483.json,А104,1830,390,470,1,0.3354,0.34,193.0,Европаллета
714,data_for_algoritm_15483.json,А157,2540,1640,1260,1,5.2487,5.25,550.0,Фургон
715,data_for_algoritm_15571.json,Какао-напиток 365 ДНЕЙ растворимый 100г,310,256,160,1,0.0127,0.01,2.8,Европаллета
716,data_for_algoritm_15216.json,107,236,171,142,2,0.0057,0.01,3.85,Европаллета
717,data_for_algoritm_15454.json,Лапша DOSHIRAK Чан Рамен с остр гов 120г,385,285,135,1,0.0148,0.01,2.73,Европаллета
718,data_for_algoritm_15503.json,А62,1400,900,725,1,0.9135,0.91,235.0,Европаллета
719,data_for_algoritm_15458.json,Дез-т-антип NIVEA Нев Защ Черн Бел Спрей,278,98,190,1,0.0052,0.01,1.69,Европаллета
720,data_for_algoritm_15216.json,6,159,108,146,1,0.0025,0.0,0.84,Европаллета
721,data_for_algoritm_15454.json,Вода мин.BORJOMI Боржоми пит.леч.ст.0.5L,275,207,240,1,0.0137,0.01,9.7,Европаллета
722,data_for_algoritm_11834.json,44,180,57,117,1,0.0012,0.0,0.48,Европаллета
723,data_for_algoritm_16881.json,А76,1200,1100,800,1,1.056,1.06,400.0,Европаллета
724,data_for_algoritm_17103.json,А12,2844,2144,1322,1,8.0609,8.06,1.95,Фургон
725,data_for_algoritm_15978.json,D3.2C,740,380,330,1,0.0928,0.09,16.0,Европаллета
726,data_for_algoritm_15024.json,TMAK GIDA MAKİNELERİ A.Ş. - Kurabiye Makinesi 1,1000,1000,1950,1,1.95,1.95,250.0,Фургон
727,data_for_algoritm_15489.json,А174,3210,3130,3160,1,31.7495,31.75,2.31,Спецтранспорт
728,data_for_algoritm_15973.json,D300,630,400,450,1,0.1134,0.11,20.0,Европаллета
729,data_for_algoritm_15916.json,Изделие сдоб DELISSE Заряшки слоёные500г,261,194,100,1,0.0051,0.01,0.56,Европаллета
730,data_for_algoritm_17074.json,10. Упаковка оборудования МП...,1290,530,660,1,0.4512,0.45,160.0,Европаллета
731,data_for_algoritm_15215.json,К55 216 ДУБ СФР,2500,175,130,12,0.0569,0.68,192.0,Европаллета
732,data_for_algoritm_15489.json,А289,5040,3140,1260,1,19.9403,19.94,3.37,Спецтранспорт
733,data_for_algoritm_15571.json,Цикорий ЛЕНТА раств гранулир му150г,292,243,246,1,0.0175,0.02,2.2,Европаллета
734,data_for_algoritm_15481.json,А335,6550,3310,3010,1,65.2583,65.26,19.4,Спецтранспорт
735,data_for_algoritm_15402.json,Корм дстер.кош PERFECT FIT Гов соус 75г,385,98,143,1,0.0054,0.01,2.32,Европаллета
736,data_for_algoritm_17372.json,Гофрокороб N4 (600х380х300),1396,986,2095,1,2.8837,2.88,250.0,Фургон
737,data_for_algoritm_15486.json,Крупа гречневая МИСТРАЛЬ вс 900г,395,175,205,1,0.0142,0.01,11.1,Европаллета
738,data_for_algoritm_15452.json,Пиво св LOWENBRAU БокбКреп 8% ПЭТ 1.3L,280,200,340,1,0.019,0.02,8.15,Европаллета
739,data_for_algoritm_15571.json,"Напол-ль дктуал 365 ДНЕЙ древ 6,5л 4кг",470,220,100,1,0.0103,0.01,4.0,Европаллета
740,data_for_algoritm_15450.json,Мука MAKFA пшеничная вс 2кг,390,215,200,1,0.0168,0.02,12.03,Европаллета
741,data_for_algoritm_15160.json,Чипсы LAYS Сметана и лук 225г,586,386,271,2,0.0613,0.12,2.0,Европаллета
742,data_for_algoritm_15456.json,Драже M&MS С арахисом 360г,384,194,182,1,0.0136,0.01,5.48,Европаллета
743,data_for_algoritm_16140.json,2pfohs2l3a - 4,590,1140,1610,1,1.0829,1.08,1.05,Европаллета
744,data_for_algoritm_15975.json,JamLab 6R,490,280,380,1,0.0521,0.05,9.5,Европаллета
745,data_for_algoritm_16954.json,Насос-автомат «ДЖАМБО» 70 50 Н-50,360,600,670,30,0.1447,4.34,594.0,Фургон
746,data_for_algoritm_15404.json,Корм дкош WHISKAS микс рагу уткпеч 75г,385,98,143,1,0.0054,0.01,2.33,Европаллета
747,data_for_algoritm_17096.json,Насос погружной «ФЕКАЛЬНИК» 200 7 Н,180,220,340,5,0.0135,0.07,28.0,Европаллета
748,data_for_algoritm_16073.json,опал,3300,900,100,40,0.297,11.88,5520.0,Фура 13.6 м
749,data_for_algoritm_16878.json,А68,1200,800,1000,1,0.96,0.96,1.1,Европаллета
750,data_for_algoritm_15613.json,D3.2R,440,400,440,10,0.0774,0.77,135.0,Европаллета
751,data_for_algoritm_17203.json,ступень,3000,300,80,10,0.072,0.72,10.0,Европаллета
752,data_for_algoritm_17366.json,Гофрокороб N13 (560х345х420),1200,800,2095,1,2.0112,2.01,250.0,Фургон
753,data_for_algoritm_17198.json,18.1. Упаковка контроллера,2080,360,430,1,0.322,0.32,30.0,Европаллета
754,data_for_algoritm_16954.json,Насос погружной «ВОДОМЕТ» 40 50 ок,212,767,126,55,0.0205,1.13,484.0,Европаллета
755,data_for_algoritm_15216.json,94,236,171,142,3,0.0057,0.02,134.32,Европаллета
756,data_for_algoritm_16952.json,Гидроаккумулятор ВП 200 к,600,600,1100,1,0.396,0.4,31.8,Европаллета
757,data_for_algoritm_15510.json,RM600AMKII,1290,490,570,1,0.3603,0.36,33.6,Европаллета
758,data_for_algoritm_14951.json,Uhep,1500,800,2300,4,2.76,11.04,1400.0,Фургон
759,data_for_algoritm_15217.json,71,143,97,180,2,0.0025,0.0,1.66,Европаллета
760,data_for_algoritm_14808.json,груз 4,800,430,300,6,0.1032,0.62,48.0,Европаллета
761,data_for_algoritm_15602.json,PAREP08L59702,6000,1220,1220,1,8.9304,8.93,3.89,Фургон
762,data_for_algoritm_15469.json,"Пиво светлое ВАРИМ СУСЛО 4,9% ПЭТ 1.5L",345,230,218,1,0.0173,0.02,9.33,Европаллета
763,data_for_algoritm_17103.json,А21,3040,1642,1230,1,6.1398,6.14,2.52,Фургон
764,data_for_algoritm_17219.json,8. (R13D) Упаковка электропроводки №3,1290,530,660,1,0.4512,0.45,60.0,Европаллета
765,data_for_algoritm_16958.json,пм,640,640,880,1,0.3604,0.36,40.0,Европаллета
766,data_for_algoritm_15481.json,А67,1600,1500,1200,1,2.88,2.88,1000.0,Фургон
767,data_for_algoritm_16952.json,Мембрана 24 л. (EPDM),300,300,10,370,0.0009,0.33,116.18,Европаллета
