№,Файл,Название,Длина (мм),Ширина (мм),Высота (мм),Кол-во,Объём 1 шт (м³),Общий объём (м³),Масса (кг),Транспорт
363,data_for_algoritm_15487.json,"Пиво ХАМОВНИКИ Венское св 4,5% ст 0.47L",365,285,280,1,0.0291,0.03,17.0,Европаллета
364,data_for_algoritm_15483.json,А352,10990,3430,3010,1,113.4641,113.46,13.18,Спецтранспорт
365,data_for_algoritm_14941.json,D3.2R,440,400,440,10,0.0774,0.77,135.0,Европаллета
366,data_for_algoritm_15481.json,А258,4250,3200,3020,1,41.072,41.07,7.7,Спецтранспорт
367,data_for_algoritm_16863.json,А9,8000,1500,1240,1,14.88,14.88,1.95,Фургон
368,data_for_algoritm_16245.json,26311286 Connect Hanger clip,140,105,105,1,0.0015,0.0,1.0,Европаллета
369,data_for_algoritm_15915.json,Сок ЛЕНТА гранатовый прямой отжим 1L,390,190,240,1,0.0178,0.02,12.0,Европаллета
370,data_for_algoritm_15212.json,66,2400,1400,2450,1,8.232,8.23,1.15,Фургон
371,data_for_algoritm_15915.json,Сахар 1кг,400,250,140,12,0.014,0.17,120.36,Европаллета
372,data_for_algoritm_16552.json,ЦСП,2550,1300,700,1,2.3205,2.32,1.0,Фургон
373,data_for_algoritm_17214.json,19. (R13D) Упаковка грузов противовеса,800,1000,140,1,0.112,0.11,1000.0,Европаллета
374,data_for_algoritm_16878.json,А22,1100,950,1100,1,1.1495,1.15,370.0,Европаллета
375,data_for_algoritm_16251.json,с ноутом,450,600,670,1,0.1809,0.18,30.0,Европаллета
376,data_for_algoritm_14974.json,ПС-17,4111,1800,100,1,0.74,0.74,353.45,Европаллета
377,data_for_algoritm_15402.json,Корм дкошек KITEKAT вк ягн в соусе 85г,385,98,143,1,0.0054,0.01,2.6,Европаллета
378,data_for_algoritm_15568.json,Сковорода TEFAL Pro Cook 28см ап,600,360,210,1,0.0454,0.05,8.5,Европаллета
379,data_for_algoritm_15481.json,А19,600,600,850,1,0.306,0.31,187.0,Европаллета
380,data_for_algoritm_15571.json,ШАМПУНЬ CLEAR 2В1 АКТИВ СПОРТ М 400МЛ,273,183,227,1,0.0113,0.01,5.65,Европаллета
381,data_for_algoritm_15077.json,корпус2,1200,400,70,7,0.0336,0.24,210.0,Европаллета
382,data_for_algoritm_15349.json,JamLab 6R,490,280,380,14,0.0521,0.73,133.0,Европаллета
383,data_for_algoritm_16952.json,Насос погружной «ФЕКАЛЬНИК» 200 7 Н,180,220,340,5,0.0135,0.07,28.0,Европаллета
384,data_for_algoritm_16496.json,SUB10G,450.0,440.0,470.0,10.0,0.0931,0.93,215.0,Европаллета
385,data_for_algoritm_16174.json,G35421501 Ecophon Focus Ds 1200х600х20mm (10720),1280,1220,2400,1,3.7478,3.75,17.0,Фургон
386,data_for_algoritm_16954.json,Расширительный бак В 14,250,250,380,60,0.0238,1.43,150.0,Европаллета
387,data_for_algoritm_17215.json,14.1. Упаковка Шкив противовеса буфферы подвеска тяговых канатов,1290,460,660,1,0.3916,0.39,100.0,Европаллета
388,data_for_algoritm_15402.json,Корм дкотят WHISKAS Рагу с ягненком 75г,385,98,143,1,0.0054,0.01,2.33,Европаллета
389,data_for_algoritm_16827.json,Фрезерно-Расточной станок  TK9211B с ЧПУ,3290,2186,2339,1,16.8219,16.82,9.0,Фургон
390,data_for_algoritm_15481.json,А208,4040,2040,1260,1,10.3844,10.38,2.06,Фургон
391,data_for_algoritm_15537.json,JamLab 6R,490,280,380,9,0.0521,0.47,85.5,Европаллета
392,data_for_algoritm_15082.json,корпус3,1800,720,180,1,0.2333,0.23,38.0,Европаллета
393,data_for_algoritm_16953.json,6,2000,300,3100,45,1.86,83.7,36000.0,Спецтранспорт
394,data_for_algoritm_11834.json,28,203,75,123,1,0.0019,0.0,0.73,Европаллета
395,data_for_algoritm_17220.json,22. (R13D) Упаковка направляющих противовеса и кабины,5000,300,250,1,0.375,0.38,4.0,Европаллета
396,data_for_algoritm_17364.json,Гофрокороб N15 (595х240х462),1200,800,2095,1,2.0112,2.01,250.0,Фургон
397,data_for_algoritm_15481.json,А322,6040,2040,1260,1,15.5252,15.53,1000.0,Фургон
398,data_for_algoritm_16615.json,CASE 5,1200,800,2000,1,1.92,1.92,521.0,Фургон
399,data_for_algoritm_16952.json,Расширительный бак В 18,270,270,410,50,0.0299,1.49,145.0,Европаллета
400,data_for_algoritm_15212.json,2,550,650,2300,1,0.8223,0.82,173.0,Европаллета
