file,manual_volume,manual_mass,manual_pallets,manual_transport,api_fill_rate,api_success
data_for_algoritm_12729.json,0.99,198.0,1,Европаллета,,False
data_for_algoritm_13579.json,25.296,6800.0,15,Фура 13.6 м,,False
data_for_algoritm_11834.json,3.99616297,6872.559000000003,3,Фура 13.6 м,,False
