Файл,Грузов,Объём (м³),Масса (кг),Паллет
data_for_algoritm_11834.json,202,4.0,6872.56,3
data_for_algoritm_12729.json,1,0.99,198.0,1
data_for_algoritm_13579.json,1,25.3,6800.0,1
data_for_algoritm_13580.json,4,1.77,860.0,2
data_for_algoritm_14208.json,1,50.69,23760.0,1
data_for_algoritm_14457.json,67,172.52,25272.0,54
